price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,price_per_square_feet,image_path
471000,3,1.75,1640,1.0,0,0,3,8,1340,300,47.7698,-122.167,2210,287.195122,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7698_lon_-122_167_0.png
820000,3,2.25,2880,2.0,0,0,3,10,2880,0,47.5575,-122.119,2920,284.7222222,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5575_lon_-122_119_1.png
359900,5,2.25,2290,1.0,0,0,3,7,1290,1000,47.4375,-122.166,1660,157.1615721,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4375_lon_-122_166_2.png
216000,3,1.0,1280,1.0,0,0,4,7,1280,0,47.3298,-122.297,1420,168.75,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3298_lon_-122_297_3.png
360000,3,1.75,1020,1.5,0,0,4,7,1020,0,47.7362,-122.314,1020,352.9411765,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7362_lon_-122_314_4.png
450000,3,1.5,1440,1.0,0,0,3,7,1140,300,47.7394,-122.252,1590,312.5,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7394_lon_-122_252_5.png
314950,3,1.0,1040,1.0,0,0,4,7,1040,0,47.4812,-122.097,1660,302.8365385,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_4812_lon_-122_097_6.png
350000,3,1.0,1390,1.0,0,0,4,7,910,480,47.704,-122.343,1320,251.7985612,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_704_lon_-122_343_7.png
269950,3,2.25,1660,2.0,0,0,3,7,1660,0,47.3599,-122.188,1840,162.6204819,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3599_lon_-122_188_8.png
435000,3,2.5,3380,2.0,0,0,3,8,2200,1180,47.7462,-121.978,2060,128.6982249,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_7462_lon_-121_978_9.png
342000,4,2.5,2300,2.0,0,0,3,8,2300,0,47.3813,-122.204,1860,148.6956522,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3813_lon_-122_204_10.png
905000,4,2.5,3520,2.0,0,0,4,10,3520,0,47.5535,-122.095,3470,257.1022727,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5535_lon_-122_095_11.png
275000,3,2.5,2710,2.0,0,0,3,7,2710,0,47.3357,-122.171,2720,101.4760148,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_3357_lon_-122_171_12.png
499000,3,2.25,1780,2.0,0,0,3,8,1780,0,47.5495,-121.997,1770,280.3370787,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5495_lon_-121_997_13.png
402000,3,3.5,1240,2.0,0,0,3,7,1000,240,47.5496,-122.388,1110,324.1935484,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_5496_lon_-122_388_14.png
700000,4,1.75,2360,1.0,0,0,3,7,1280,1080,47.6465,-122.357,1700,296.6101695,C:\Users\vansh\Desktop\satellite imagery\project_root\images\lat_47_6465_lon_-122_357_15.png
